Year,Quarter,"Alcona, MI","Alger, MI","Allegan, MI","Alpena, MI","Antrim, MI","Arenac, MI","Baraga, MI","Barry, MI","Bay, MI","Benzie, MI","Berrien, MI","Branch, MI","Calhoun, MI","Cass, MI","Charlevoix, MI","Cheboygan, MI","Chippewa, MI","Clare, MI","Clinton, MI","Crawford, MI","Delta, MI","Dickinson, MI","Eaton, MI","Emmet, MI","Genesee, MI","Gladwin, MI","Gogebic, MI","Grand Traverse, MI","Gratiot, MI","Hillsdale, MI","Houghton, MI","Huron, MI","Ingham, MI","Ionia, MI","Iosco, MI","Iron, MI","Isabella, MI","Jackson, MI","Kalamazoo, MI","Kalkaska, MI","Kent, MI","Keweenaw, MI","Lake, MI","Lapeer, MI","Leelanau, MI","Lenawee, MI","Livingston, MI","Luce, MI","Mackinac, MI","Macomb, MI","Manistee, MI","Marquette, MI","Mason, MI","Mecosta, MI","Menominee, MI","Midland, MI","Missaukee, MI","Monroe, MI","Montcalm, MI","Montmorency, MI","Muskegon, MI","Newaygo, MI","Oakland, MI","Oceana, MI","Ogemaw, MI","Ontonagon, MI","Osceola, MI","Oscoda, MI","Otsego, MI","Ottawa, MI","Presque Isle, MI","Roscommon, MI","Saginaw, MI","St. Clair, MI","St. Joseph, MI","Sanilac, MI","Schoolcraft, MI","Shiawassee, MI","Tuscola, MI","Van Buren, MI","Washtenaw, MI","Wayne, MI","Wexford, MI"
2011,Q3,239,514,5232,1401,1686,833,420,1376,4761,1326,11158,1687,7762,1584,1629,1499,1319,795,2182,585,2823,1997,5529,3204,19946,585,581,9462,1975,1521,2126,1847,18130,3446,1038,415,3606,9993,17882,555,62576,174,191,3670,2641,4275,9015,190,1380,54273,935,3597,2951,1654,786,4747,478,6128,2302,247,11500,1608,119705,2513,831,220,739,287,1647,21174,442,1375,12070,6492,7802,1716,285,1858,1504,9735,21999,102223,1542
2011,Q4,160,175,3666,1091,555,415,253,1222,4195,512,6775,1298,8441,814,1432,595,975,675,1757,355,3337,1709,5419,2974,27143,435,1409,5514,1701,1049,1198,1398,21644,9752,746,415,3189,8694,15100,441,61819,19,157,3419,695,3221,8909,131,325,62891,502,3114,1054,1093,747,4547,591,5090,1822,153,7797,881,111969,857,924,119,502,183,1121,13202,246,519,10904,5396,2642,1270,157,1889,1034,2096,20713,96910,1299
2012,Q1,119,145,3463,832,847,444,330,1099,3163,408,6705,1366,6341,1121,945,957,978,640,1619,370,1298,1284,4947,2149,15983,418,809,4259,1503,1456,1011,1325,14478,3284,657,326,2862,8190,13420,446,52461,58,134,2118,539,2804,7943,103,210,37518,489,2494,1094,1010,668,3341,361,5461,1496,206,6438,794,89724,563,568,147,544,126,1181,12716,219,433,7378,4778,2497,1149,167,1561,941,2469,18427,80943,1108
2012,Q2,453,564,7203,1834,1687,1244,383,1727,5622,1593,12611,1979,7746,2400,2672,2842,2004,1116,3153,887,2904,1829,6732,5843,22720,831,1313,9676,2093,1972,1921,2305,19127,4144,1539,628,4466,11565,18820,755,66721,228,269,4039,2498,5035,11247,276,3882,53738,1686,4123,2906,1867,1021,9378,692,8123,2565,445,12333,1905,130706,3389,1251,199,849,330,2163,20327,607,1232,21539,7754,3855,1952,471,2602,1490,6078,26081,105747,1756
2012,Q3,243,411,5157,1418,938,796,341,1356,4860,989,10511,2638,8488,1844,1555,1595,1969,816,2378,469,3997,2373,6483,3632,19928,510,638,7276,1617,1351,1770,1681,19001,10915,1121,364,4783,9915,18571,596,59076,185,235,3788,1972,4481,10918,186,1219,45798,896,7116,1630,1380,807,4677,435,6684,2312,361,16218,1681,116555,1461,910,185,680,211,1684,19654,387,831,11654,6886,7896,1933,352,1896,1495,6211,23846,100124,1554
2012,Q4,163,225,4211,1462,538,629,228,1270,4852,689,8558,2440,8772,1088,1370,1108,1511,921,2388,441,1957,1483,7568,5422,30084,500,795,5590,1796,2032,1272,2227,23762,17043,821,637,3661,8941,17676,444,63306,33,179,2764,744,4170,10495,131,338,62392,717,5558,1147,1276,954,5252,532,7588,2144,168,8600,1156,131795,690,1030,126,679,167,1310,13746,277,576,12746,6590,3303,1372,271,1992,1370,2828,23677,114043,1811
2013,Q1,188,164,3722,988,866,564,333,992,3146,444,6364,1413,5463,1089,1052,539,1199,635,1920,343,1154,1233,4643,2714,18027,429,651,4196,1134,1575,905,1131,13793,3633,865,295,2481,11190,14030,441,52605,27,120,2863,538,2657,7529,142,233,38507,515,2313,837,1043,804,3722,336,5860,1482,163,6430,948,93683,436,591,85,596,150,1070,12336,220,450,8816,4522,2721,865,171,1609,852,1938,17427,80844,1479
2013,Q2,438,567,7520,1971,1840,1293,425,1714,5710,1503,13880,2267,8689,2306,2749,2858,2054,1101,3501,798,2767,1890,6739,5712,23882,764,615,9724,1787,2362,1730,2154,19620,4458,1651,562,4536,11299,22494,794,67477,227,299,4508,2607,5167,13259,310,4088,55279,1505,4177,2655,2140,1257,6048,871,8620,2586,340,15988,1929,132513,3317,1199,166,1007,649,2308,21037,610,1134,12664,7770,4572,1626,406,2543,1579,4662,25125,105358,2078
2013,Q3,282,413,5817,1558,1697,833,384,1545,4546,1345,12304,2220,7590,1743,1721,1587,2497,795,2609,982,2611,1930,6094,4390,21001,577,544,7861,1677,1944,1664,1536,17590,2963,1131,707,4360,11803,19116,652,70163,144,174,3819,2230,4452,10909,272,1125,47405,939,3760,2424,1535,833,4758,425,7206,2525,259,11191,1806,115486,2457,953,203,732,359,1867,20270,291,816,11165,6470,8613,1575,259,1988,1801,11699,24180,103984,2190
2013,Q4,149,174,4423,1318,596,411,303,1305,4457,553,7319,1924,8204,1258,1304,863,1577,672,2252,459,2037,1637,6343,4915,23838,440,664,5634,1367,2469,1273,1692,20374,6189,851,399,3611,9078,18120,396,68156,47,126,3114,958,3660,10467,180,294,51383,745,3039,1438,1388,658,4855,562,7430,2143,222,9857,1505,120186,997,911,120,588,184,1377,15866,235,744,11543,6057,4049,1281,161,1941,1125,2776,22403,102822,2040
2014,Q1,193,220,3694,1090,618,989,340,1089,3365,341,10448,1841,6002,1177,1399,524,949,542,2214,393,1912,1781,5704,2989,18271,393,645,4884,1382,1725,1118,1487,15071,3103,920,392,2620,8254,16181,378,54565,66,122,2709,610,2689,8369,212,227,42772,519,2632,1211,1647,639,4661,415,6225,1693,158,8211,1076,102589,504,839,84,523,171,1269,15478,258,507,8906,4806,3673,838,203,1794,1097,2780,19978,83488,1906
2014,Q2,504,627,8434,2169,2052,1444,540,2241,9751,1595,14561,2965,10024,2582,3057,3264,2521,1706,4188,942,3205,2632,8116,6508,31087,880,638,11262,3054,2561,2009,2468,21867,4617,2286,696,5613,13312,25026,886,84287,207,293,4709,3181,5774,14104,520,4014,62664,1717,4859,2959,2666,1205,7135,835,9067,3258,452,13277,2192,144391,3330,1382,216,1037,537,2628,27398,641,1382,15530,8255,4455,1974,453,3132,1816,5293,29838,121173,2579
2014,Q3,274,410,5347,1477,1479,791,479,1611,5429,1287,11228,2382,8320,1598,1627,1393,1667,950,2692,535,3003,1804,6504,4655,23118,504,574,7647,2087,1917,1624,1444,17546,4562,1132,382,3612,10165,18998,574,71303,145,163,3947,2572,4129,14245,283,1100,48909,872,3591,2257,1654,727,5081,455,6473,2455,276,11953,1881,117643,2063,857,136,911,326,1791,21669,316,837,12367,6616,7825,1550,246,2089,1527,11810,24212,104303,1925
2014,Q4,162,168,5948,1523,767,552,177,1523,4746,656,8455,2030,7765,1120,1280,694,1191,745,2440,416,2132,1605,6751,3380,23020,436,752,6338,1511,1668,1301,1723,17766,6705,761,586,3471,11763,19671,460,76232,56,137,2808,848,3165,11052,156,402,52000,718,3089,1343,1398,779,4810,577,6791,2245,310,14125,1562,123433,964,918,115,620,189,1530,16765,280,595,12711,6034,3278,1281,172,2246,1318,2660,23190,106873,2037
2015,Q1,98,204,4150,1183,791,458,136,1173,3614,331,7719,1645,6545,1223,1032,512,907,660,1990,403,1369,1283,5300,2386,18265,425,532,4645,1283,1814,992,1077,14660,3103,645,365,2577,8522,14973,294,52185,54,118,2533,565,2632,8829,139,219,40275,432,2351,980,1477,633,3934,367,5890,1624,167,7296,1197,97306,410,602,104,586,179,1329,13514,186,527,8458,4747,2793,904,173,1617,947,2373,18197,82820,1480
2015,Q2,457,529,8273,2099,1899,1325,236,2183,5927,1567,14477,2548,8817,2337,2702,2879,1996,1223,3791,824,2695,2075,7505,5877,24916,748,579,10424,1995,2557,1720,2310,19916,4268,1491,695,4456,11604,21516,761,74695,238,466,4521,2854,5402,12966,328,3055,60259,1690,4194,2907,2637,950,6861,748,8501,2617,417,13536,2285,141585,3304,1217,174,1007,595,2379,25168,499,1142,13232,8097,4325,1894,435,2918,1799,5367,27172,108674,2444
2015,Q3,297,443,6361,1577,1613,854,251,1484,5266,1142,12276,2239,7917,1813,1752,1365,1441,927,3144,1223,2913,1777,7136,4453,22308,605,595,8519,1733,1998,1297,1454,21888,2885,1045,483,3738,10077,18971,532,75458,200,181,3646,2462,4162,11448,266,1013,56171,932,3977,2302,1821,699,5250,466,8335,2556,236,17584,1966,125951,2169,806,182,807,295,1720,22328,290,884,12315,6992,7155,1549,271,2082,1467,11832,24447,122192,2804
2015,Q4,151,173,5808,1440,646,640,204,1394,4688,573,11004,1993,7749,1295,1212,981,995,783,3109,498,1929,1576,7015,3270,23655,455,652,6719,1635,1858,1152,1639,18846,6761,708,494,3691,10463,19373,418,84230,58,177,2862,945,3682,11336,171,479,54768,653,3253,1471,1630,673,6452,541,7401,2349,271,10009,1578,131941,942,888,93,822,194,1675,18102,245,623,12433,6435,3656,1346,244,2334,1267,2795,25027,111941,2071
2016,Q1,147,192,4213,1257,617,388,183,1231,3334,364,8056,1567,6538,1375,1164,589,804,742,2696,481,1558,1626,5615,2599,18785,339,571,4974,1481,1813,840,1053,14931,3111,605,372,2782,8215,16456,305,65636,101,118,2470,817,2851,8999,104,209,41973,473,2624,1332,1382,511,3681,422,5454,1794,164,7608,1192,103284,572,775,96,754,128,1504,14567,215,492,8903,4604,3128,859,164,1813,895,3060,18504,84829,1717
2016,Q2,457,693,8311,1882,1724,1357,229,1997,5978,1504,14943,2347,8898,2489,2735,2583,1849,1347,4142,900,2929,2317,8395,5675,24646,699,659,10099,1870,2715,1488,2194,21208,4120,1345,617,4726,11479,21674,806,80699,259,295,4571,2803,5525,13038,280,3015,62412,1447,4052,2909,2749,920,6214,685,8544,2610,373,12835,2128,143073,3325,1223,162,1153,554,2349,24342,454,1293,12874,7423,4373,1770,371,2886,1659,5319,26799,111975,2403
